timestamp,neuron
17,252
18,112
19,88
19,247
21,248
23,249
25,253
27,246
27,251
29,250
29,112
30,88
30,252
31,247
34,248
35,249
35,253
38,246
39,251
40,112
40,88
43,252
43,247
43,250
46,253
46,248
46,249
49,246
50,251
51,88
51,112
54,247
55,252
56,253
58,250
58,249
58,248
60,246
61,251
62,88
63,112
66,253
66,247
68,252
69,249
70,248
72,246
72,250
73,251
73,88
74,112
76,253
78,247
80,252
81,249
83,248
83,246
83,88
84,251
85,112
86,250
86,253
90,247
92,249
93,252
94,88
94,246
95,248
95,251
96,112
96,253
100,250
101,247
103,249
105,88
105,252
106,246
106,253
107,251
107,248
107,112
113,247
115,250
115,249
116,88
117,253
117,246
118,252
118,251
118,112
119,248
125,247
126,249
126,88
127,253
128,246
129,250
129,251
129,112
130,252
132,248
137,247
137,253
137,88
138,249
139,246
141,251
141,112
143,252
143,250
144,248
147,253
148,88
148,247
149,249
150,246
152,112
152,251
155,252
156,248
157,253
158,250
159,88
160,247
161,249
162,246
163,112
163,251
168,253
168,252
169,248
169,88
172,250
172,247
172,249
173,246
174,112
175,251
178,253
181,88
182,252
182,248
184,249
184,247
184,246
185,112
186,251
186,250
188,253
191,88
193,252
193,248
195,249
196,247
196,246
197,112
197,251
198,253
201,250
202,88
206,252
206,248
206,249
207,246
207,247
208,112
208,253
209,251
213,88
215,250
218,249
218,248
218,246
218,252
219,253
219,112
219,247
220,251
223,88
229,253
229,250
229,249
230,246
230,112
230,248
231,252
231,247
231,251
234,88
239,253
241,246
241,249
241,112
243,251
243,247
243,248
243,252
244,250
245,88
249,253
252,246
252,249
252,112
254,251
254,247
255,248
256,88
256,252
258,250
259,253
263,246
264,112
264,249
265,251
266,247
267,88
267,248
268,252
269,253
272,250
275,246
275,112
275,249
277,251
277,88
278,247
280,248
280,253
281,252
286,112
286,246
287,250
287,249
288,251
288,88
290,247
290,253
292,248
293,252
297,112
297,246
298,249
299,88
299,251
300,253
301,250
301,247
304,248
306,252
308,112
308,246
309,88
310,249
310,253
311,251
313,247
315,250
316,248
319,252
319,112
320,246
320,253
320,88
321,249
322,251
325,247
329,248
330,250
330,253
331,112
331,246
331,88
331,252
332,249
333,251
337,247
341,253
341,248
342,112
342,88
342,246
344,252
344,250
344,249
345,251
348,247
351,253
353,88
353,112
353,248
354,246
355,249
356,251
356,252
358,250
360,247
361,253
363,88
364,112
365,246
366,248
367,249
367,251
369,252
371,253
372,247
372,250
374,88
375,112
376,246
378,248
378,249
379,251
381,253
381,252
384,247
385,88
386,112
387,250
387,246
390,249
390,251
390,248
391,253
394,252
395,247
396,88
397,112
399,246
401,250
401,249
401,251
402,253
403,248
406,88
406,252
407,247
409,112
410,246
412,253
412,251
412,249
415,248
415,250
417,88
419,247
419,252
420,112
421,246
422,253
424,251
424,249
427,248
428,88
430,250
431,247
431,112
432,252
432,253
432,246
435,251
435,249
439,88
439,248
442,112
442,253
442,247
444,246
444,250
444,252
447,251
447,249
449,88
452,248
453,253
453,112
454,247
455,246
457,252
458,251
458,249
458,250
460,88
463,253
464,248
464,112
466,247
466,246
469,251
469,252
470,249
471,88
473,250
473,253
476,112
476,248
477,246
478,247
481,251
481,249
482,252
482,88
483,253
487,112
487,250
489,248
489,246
489,247
492,251
493,249
493,88
493,253
494,252
498,112
500,246
501,248
501,250
501,247
503,251
503,88
503,253
504,249
507,252
509,112
511,246
513,247
513,248
514,253
514,88
514,251
515,249
516,250
519,252
520,112
522,246
524,253
525,247
525,88
525,248
526,251
527,249
530,250
531,112
532,252
534,246
534,253
536,88
536,247
537,251
538,248
538,249
542,112
544,250
544,253
544,252
545,246
546,88
548,247
548,251
550,249
550,248
554,112
554,253
556,246
557,252
557,88
558,250
560,251
560,247
561,249
562,248
