timestamp,neuron
29,250
29,253
29,246
33,252
33,247
34,248
34,249
34,88
39,251
39,253
41,246
43,250
45,247
45,88
46,249
46,252
47,248
49,253
50,251
52,246
56,88
57,247
57,250
57,249
59,252
59,248
59,253
61,251
63,246
67,88
69,249
69,247
70,253
71,252
71,248
72,250
73,251
75,246
78,88
80,253
80,249
81,247
84,248
84,252
84,251
86,246
86,250
89,88
90,253
92,249
93,247
96,251
96,248
96,252
97,246
99,88
100,253
100,250
103,249
104,247
107,251
108,248
109,246
109,252
110,88
111,253
115,249
115,250
116,247
118,251
120,246
121,248
121,253
121,88
122,252
126,249
128,247
129,250
130,251
131,253
131,246
132,88
133,248
134,252
138,249
140,247
141,251
141,253
143,246
143,88
144,250
145,248
147,252
149,249
151,253
152,247
153,251
153,88
154,246
158,248
158,250
159,252
161,249
162,253
164,247
164,251
164,88
165,246
170,248
172,253
172,252
172,249
172,250
175,88
175,251
175,247
176,246
182,253
182,248
184,249
185,252
186,88
187,251
187,250
187,247
188,246
192,253
195,248
195,249
197,88
197,252
198,251
199,247
199,246
201,250
202,253
207,249
207,248
207,88
209,251
210,252
211,246
211,247
213,253
215,250
218,249
218,88
219,248
221,251
222,246
222,252
222,247
223,253
229,88
230,249
230,250
231,248
232,251
233,246
233,253
234,247
235,252
240,88
241,249
243,253
244,251
244,248
244,250
244,246
246,247
247,252
251,88
253,249
254,253
255,251
256,246
256,248
258,247
258,250
260,252
261,88
264,253
264,249
266,251
267,246
268,248
270,247
272,88
272,252
273,250
274,253
276,249
278,251
278,246
281,248
282,247
283,88
284,253
285,252
287,249
287,250
289,251
289,246
293,248
293,247
294,88
294,253
298,252
299,249
300,251
301,246
301,250
305,253
305,88
305,247
305,248
310,249
310,252
312,251
312,246
315,253
316,88
316,250
317,247
318,248
321,249
323,252
323,251
323,246
325,253
326,88
329,247
330,248
330,250
333,249
335,251
335,246
335,253
335,252
337,88
340,247
342,248
344,250
345,249
345,253
346,246
346,251
348,88
348,252
352,247
355,248
356,253
356,249
357,246
357,251
359,88
359,250
360,252
364,247
366,253
367,248
367,249
368,246
369,251
369,88
373,252
373,250
376,247
376,253
379,249
379,248
380,246
380,251
380,88
386,252
386,253
388,250
388,247
390,249
391,88
391,246
391,251
391,248
396,253
398,252
399,247
402,88
402,249
402,250
402,246
403,251
404,248
407,253
411,252
411,247
413,88
413,249
414,246
414,251
416,248
416,250
417,253
423,247
423,252
423,88
425,249
425,246
426,251
427,253
428,248
431,250
434,88
435,247
436,252
436,246
436,249
437,251
437,253
441,248
445,250
445,88
447,247
448,253
448,246
448,249
448,251
449,252
453,248
456,88
458,253
458,247
459,246
459,250
459,249
460,251
461,252
465,248
467,88
468,253
470,246
470,247
471,249
471,251
474,250
474,252
477,88
478,248
